Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Прокопович,Арсен,Олексович,чоловік,1962-05-05,Паблік рилейшнз,хутір Снігурівка,"парк Офіцерська, буд. 94, Кам'янка-Дніпровська, 29280",089 306-47-54,bohdanustenko@example.net
Височан,Теодор,Устимович,чоловік,1993-11-21,Детектив,хутір П'ятихатки,"проспект Сурикова, буд. 523, Первомайськ, 77677",069 619 99 12,onysymparasiuk@example.net
Ляшко,Гаврило,Яремович,чоловік,1947-10-26,Кінолог,місто Новомосковськ,"площа Лиманчик 2-й Лінія 9-та, буд. 0 кв. 8, Вилкове, 93188",048 230 18 28,lytvynenkoliza@example.org
Єсипенко,Едуард,Опанасович,чоловік,1997-03-01,Кухар,хутір Ворожба,"площа Університетський, буд. 732 кв. 8, Українка , 64670",036-85-62,kbezditko@example.com
Рева,Омелян,Устимович,чоловік,2001-01-08,Астронавт,село Білгород-Дністровський,"набережна Тінистий, буд. 25, Брянка, 17419",+380 18 898-43-41,khoma34@example.org
Баран,Давид,Аврелійович,чоловік,2006-12-10,Доцент,селище Ланівці,"сквер Грибоєдова, буд. 2, Алчевськ, 69538",871 58 88,atsarenko@example.net
Вишиваний,Йосип,Ігнатович,чоловік,1979-11-26,Пекар,місто Хоростків,"площа Ольгіївський узвіз, буд. 6, Тисмениця, 36909",068 657-15-06,teodor32@example.com
Бабариченко,Богуслав,Едуардович,чоловік,1955-08-23,Електрик,хутір Часів Яр,"вулиця Траса Здоров'я, буд. 840 кв. 1, Васильків, 78483",051 874-77-67,ruslanatamanchuk@example.net
Демʼяненко,Арсен,Алевтинович,чоловік,1999-04-03,Лікар,хутір Корюківка,"проспект П'ята, буд. 65 кв. 5, Рівне, 60871",+380 (11) 526-06-01,borys74@example.org
Ґалаґан,Ігнат,Микитович,чоловік,2008-06-11,Нотаріус,хутір Дніпрорудне,"парк Мазепи Івана, буд. 6 кв. 388, Борзна, 88625",+380 75 623-44-21,lpelekh@example.org
Вівчаренко,Пантелеймон,Юстимович,чоловік,1948-06-19,Секретар,село Бровари,"парк Шефська, буд. 4, Гірник , 40474",017 81 61,artymfedir@example.net
Палій,Мартин,Олегович,чоловік,1978-05-20,Гірничий інженер,хутір Василівка ,"провулок Приморська, буд. 07, Луганськ, 05785",163-44-18,verhundanna@example.com
Ємець,Олег,Ростиславович,чоловік,2007-08-26,Художник,хутір Миронівка,"вулиця Прорізна, буд. 417, Радивилів, 74729",051 102 07 09,semenskoryk@example.net
Данильчук,Хома,Геннадійович,чоловік,1956-03-15,Бухгалтер,селище Рубіжне,"вулиця Зоряна, буд. 5, Кадіївка, 94835",+380 79 172-75-51,edyta70@example.com
Величко,Соломон,Сергійович,чоловік,1971-10-01,Швачка,селище Скалат,"провулок Лінія 30-та, буд. 503, Гайсин, 48014",+380 (79) 782-79-09,klavdiia17@example.com
